2026-02-03 17:13:34,909 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,913 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,935 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:34,940 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:37,433 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:15:47,547 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:17:48,032 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:20:56,849 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:20:56,850 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:20:59,370 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:21:57,927 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:30:47,095 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Received signal 2, shutting down...
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:31:27,435 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:31:27,439 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:46:09,061 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 161 msgs, person 16 at (-146, 211), active=1, passive=1
2026-02-03 17:46:11,091 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 148 msgs, person 16 at (-299, 300), active=0, passive=2
2026-02-03 17:46:13,099 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 140 msgs, person 25 at (-234, 436), active=0, passive=1
2026-02-03 17:46:15,131 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 97 msgs, person 26 at (-163, 426), active=0, passive=2
2026-02-03 17:46:17,134 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 115 msgs, person 26 at (-369, 426), active=0, passive=2
2026-02-03 17:46:19,166 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 108 msgs, person 28 at (-21, 419), active=0, passive=2
2026-02-03 17:46:21,168 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 84 msgs, person 29 at (-36, 488), active=0, passive=2
2026-02-03 17:46:23,169 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 96 msgs, person 30 at (-251, 481), active=0, passive=2
2026-02-03 17:46:25,169 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 145 msgs, person 31 at (-64, 373), active=1, passive=1
2026-02-03 17:46:27,172 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 149 msgs, person 32 at (-85, 148), active=1, passive=2
2026-02-03 17:46:29,204 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 169 msgs, person 32 at (-85, 148), active=1, passive=3
2026-02-03 17:46:31,207 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 178 msgs, person 32 at (-80, 138), active=1, passive=3
2026-02-03 17:46:33,240 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 203 msgs, person 32 at (-121, 198), active=1, passive=3
2026-02-03 17:46:35,240 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 177 msgs, person 37 at (-157, 462), active=1, passive=2
2026-02-03 17:46:37,271 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 170 msgs, person 32 at (-158, 263), active=1, passive=3
2026-02-03 17:46:39,301 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 189 msgs, person 32 at (-325, 302), active=0, passive=3
2026-02-03 17:46:41,306 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 140 msgs, person 40 at (-284, 413), active=0, passive=2
2026-02-03 17:46:43,306 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 88 msgs, person 41 at (-61, 460), active=0, passive=2
2026-02-03 17:46:45,311 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 100 msgs, person 42 at (-197, 373), active=0, passive=2
2026-02-03 17:46:47,344 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 118 msgs, person 43 at (-75, 478), active=0, passive=2
2026-02-03 17:46:49,347 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 107 msgs, person 44 at (-257, 353), active=0, passive=2
2026-02-03 17:46:51,348 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 99 msgs, person 45 at (-158, 435), active=0, passive=2
2026-02-03 17:46:53,350 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 134 msgs, person 45 at (-342, 435), active=0, passive=4
2026-02-03 17:46:55,036 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:49:19,834 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:49:19,859 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:49:19,975 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:25,144 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:30,230 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:35,310 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:40,408 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:45,482 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:50,564 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:55,662 - LightControllerV3 - INFO - 🎯 active=0, passive=0, mode=idle
2026-02-03 17:49:56,510 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 1 msgs, person 1 at (-376, 326), active=0, passive=0
2026-02-03 17:49:58,512 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 55 msgs, person 1 at (-173, 326), active=0, passive=1
2026-02-03 17:50:00,545 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 110 msgs, person 1 at (31, 326), active=0, passive=2
